Timestamp,close,high,low,open,volume
1401197402,555.0080,556.4100,554.3500,556.3800,81100
1401197460,556.2500,556.3000,555.2500,555.2500,18500
1401197526,556.7300,556.7500,556.0500,556.3900,9900
1401197582,557.4800,557.6700,556.7300,556.7300,14700
1401197642,558.1550,558.6600,557.4800,557.5900,15700
1401197703,557.4100,558.6600,557.3450,558.3600,24800
1401197760,556.5800,557.5500,556.5200,557.5500,24500
1401197822,557.0000,557.4900,556.7900,556.7900,35400
1401197939,556.8290,557.4500,556.8000,557.2000,15200
1401197999,556.8634,557.0900,556.8000,556.8100,23200
1401198000,556.4700,557.0698,556.4700,556.8540,4800
1401198060,556.5600,556.6899,556.1400,556.6899,8600
1401198124,556.1900,556.5600,556.1400,556.5600,4400
1401198184,556.4100,556.7000,556.1300,556.3500,21800
1401198259,556.8000,556.9800,556.5050,556.5800,3500
1401198305,556.7500,556.9800,556.5400,556.7300,7300
1401198363,556.7600,556.7600,556.4200,556.6800,8000
1401198426,557.1800,557.2500,556.6500,556.8300,7300
1401198538,557.5350,557.7700,557.1600,557.1600,17900
1401198541,557.0400,557.6200,556.9200,557.4300,8100
1401198612,556.8800,557.1498,556.8000,557.1498,8600
1401198661,556.8000,557.0000,556.5300,556.9300,11400
1401198779,556.6100,556.9600,556.6100,556.9490,14600
1401198781,556.4000,556.7300,556.1600,556.5575,28600
1401198840,556.6200,556.8400,556.2200,556.4300,9600
1401198902,556.5140,556.5900,556.2300,556.2300,8900
1401198964,556.4150,556.6700,556.2800,556.5000,9200
1401199040,556.3100,556.4800,556.2800,556.4200,3400
1401199086,555.8200,556.4800,555.7300,556.4800,20000
1401199141,554.7700,555.5500,554.7700,555.5500,20500
1401199258,554.7300,555.1100,554.5601,554.7700,18300
1401199260,554.9756,555.1300,554.6100,554.6100,13000
1401199324,554.5900,555.1300,554.5900,555.1100,12800
1401199382,554.5800,554.9847,554.5100,554.6300,19600
1401199443,555.0246,555.1300,554.4500,554.5800,11900
1401199505,555.7590,555.7600,554.9500,554.9500,4500
1401199563,555.5300,555.7500,555.5100,555.5500,1800
1401199623,556.5000,556.5000,555.4500,555.5400,18200
1401199683,556.8500,556.8500,556.4700,556.5800,10000
1401199746,557.0000,557.0000,556.4801,556.6800,9600
1401199800,556.6887,557.0900,556.2947,556.8800,13500
1401199879,557.3200,557.3200,556.6600,556.6600,9300
1401199920,557.5600,557.7800,557.2000,557.2600,9900
1401199981,557.6224,557.8400,557.4700,557.4700,8800
1401200051,557.9000,557.9200,557.6400,557.8700,3600
1401200100,557.6050,558.0700,557.4100,557.9900,8700
1401200161,557.2100,557.6340,557.2100,557.5900,3500
1401200220,556.9250,557.1200,556.9250,557.0000,2800
1401200282,556.9840,557.4800,556.8100,556.8100,11100
1401200399,556.5000,556.9700,556.5000,556.8850,4800
1401200402,556.9850,557.0300,556.7100,556.7100,2100
1401200465,556.9300,557.3000,556.9300,557.3000,1800
1401200579,557.0100,557.4699,556.9401,557.1700,4400
1401200580,557.3308,557.4098,556.9800,557.0300,1600
1401200643,557.3000,557.3100,557.1100,557.2900,5500
1401200714,557.2800,557.4900,557.2000,557.2600,3300
1401200817,557.7130,557.7500,557.1722,557.3500,15800
1401200821,557.9000,557.9000,557.4000,557.7200,7900
1401200939,557.7200,557.8999,557.5000,557.8600,4800
1401200940,557.9900,558.1500,557.7800,557.8100,13100
1401201056,558.2200,558.3300,557.8101,557.9900,6300
1401201062,558.2200,558.4900,558.0300,558.0400,12300
1401201124,558.4300,558.4600,558.1800,558.4100,3600
1401201235,558.5599,558.5599,558.2628,558.3900,4100
1401201297,558.3501,558.4500,558.3300,558.4300,5600
1401201301,558.3900,558.4600,558.0200,558.3500,4000
1401201362,558.3900,558.3900,558.1980,558.2450,2400
1401201420,558.3000,558.4800,558.1500,558.1800,5800
1401201480,557.9900,558.3800,557.8100,558.3000,6200
1401201540,558.1100,558.1600,557.7500,557.9500,6000
1401201612,557.8950,558.1800,557.6100,558.0100,9700
1401201667,557.8000,558.0200,557.7800,557.8950,2400
1401201723,557.8000,558.0600,557.5710,558.0600,6400
1401201787,557.6600,557.8375,557.5120,557.6200,3200
1401201844,557.5600,557.6700,557.2800,557.6700,5500
1401201909,557.7700,557.9000,557.4180,557.5800,4500
1401201963,557.1600,557.8300,557.1200,557.5575,4000
1401202033,557.3700,557.6000,557.2000,557.4500,6400
1401202121,557.8500,557.8500,557.4750,557.4750,1500
1401202141,557.9100,558.0900,557.9100,558.0400,2800
1401202212,558.0772,558.2500,558.0225,558.1500,3000
1401202260,558.0600,558.0600,558.0100,558.0328,700
1401202320,558.0600,558.4400,558.0600,558.0700,7000
1401202387,558.3200,558.3300,558.0800,558.1000,3100
1401202455,558.5600,558.5600,558.1601,558.1601,2300
1401202508,558.4700,558.6300,558.3300,558.5200,2600
1401202570,558.7500,558.8600,558.3640,558.4999,6200
1401202638,558.6600,558.7600,558.6600,558.6900,1800
1401202680,558.3945,558.6600,558.2300,558.6600,3500
1401202742,558.4300,558.6100,558.2700,558.4000,5300
1401202802,559.0000,559.0000,558.5800,558.5800,4000
1401202875,559.0000,559.0000,558.8000,558.8800,4100
1401202926,559.1200,559.1200,558.8400,559.0000,2800
1401203002,559.3100,559.3900,559.0429,559.0900,4500
